recordType,formTypeCd,reportTypeCd,reportInfoIdent,applicableYear,filerIdent,filerTypeCd,filerName,filerSort,dueDt,receivedDt,periodStartDt,periodEndDt,filedDt,regReportInfoIdent,sourceCategoryCd,filerPersentTypeCd,filerNameOrganization,filerNameLast,filerNameSuffixCd,filerNameFirst,filerNamePrefixCd,filerNameShort,signerPrintedName,onbehalfFlag,totalExpendTransportation,totalExpendFood,totalExpendEntertainment,totalExpendGift,totalExpendAward,totalExpendEvent,totalExpendMedia,totalBenefitStateSen,totalBenefitStateRep,totalBenefitOtherElected,totalBenefitLegEmpl,totalBenefitExecEmpl,totalBenefitFamily,totalBenefitEvent,totalBenefitGuest,lobbyistRegisteredDt,lobbyistTerminatedDt,corrExplMemo,coverSheetMemo,subjectMatterMemo,docketsMemo
CVLA,LOBBYACT,LOBBYACTJAN,4544,1993,00010007,LOBB,"Martin, James M. (Mr.)","MARTIN, JAMES M. (MR.)",19930111,19930104,,,19930104,2235,UNKNOWN,INDIVIDUAL,,Martin,,James M.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19921207,19931231,,,,
CVLA,LOBBYACT,LOBBYACTFEB,137121,2000,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",20000210,20000208,,,20000208,135288,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20000108,20001231,,,,
CVLA,LOBBYACT,LOBBYACTMAY,310246,2006,00010008,LOBB,"Rich, Sidney (Mr.)","RICH, SIDNEY (MR.)",20060510,20060508,20060401,20060430,20060508,296836,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,MR,,Sidney D. Rich,N,0.00,64.20,0.00,0.00,0.00,0.00,0.00,0.00,44.22,0.00,19.98,0.00,0.00,0.00,0.00,20060110,20061231,,,,
CVLA,LOBBYACT,LOBBYACTJUN,342472,2007,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20070611,20070601,20070501,20070531,20070601,326027,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20070101,20071231,,,,
CVLA,LOBBYACT,LOBBYACTMAR,519959,2012,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20120312,20120301,20120201,20120229,20120301,508499,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20120101,20121231,,,,
CVLA,LOBBYACT,LOBBYACTMAY,26568,1994,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19940510,19940504,,,19940504,19769,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19931228,19941231,,,,
CVLA,LOBBYACT,LOBBYACTAPR,521890,2012,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20120410,20120402,20120301,20120331,20120402,508499,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20120101,20121231,,,,
CVLA,LOBBYACT,LOBBYACTAPR,101694,1998,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19980410,19980404,,,19980404,94632,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19980101,19981231,,,,
CVLA,LOBBYACT,LOBBYACTJUN,279546,2005,00010008,LOBB,"Rich, Sidney (Mr.)","RICH, SIDNEY (MR.)",20050610,20050606,20050501,20050531,20050606,278492,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,MR,,,N,0.00,41.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.27,0.00,0.00,0.00,,20050511,20051231,,,,
CVLA,LOBBYACT,LOBBYACTJUN,414520,2009,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20090610,20090602,20090501,20090531,20090602,393654,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,49.95,0.00,0.00,0.00,0.00,49.95,0.00,0.00,0.00,0.00,0.00,0.00,20090101,20091231,,,,
