recordType,formTypeCd,reportTypeCd,reportInfoIdent,applicableYear,filerIdent,filerTypeCd,filerName,filerSort,dueDt,receivedDt,periodStartDt,periodEndDt,lobbyFormType,lobbySubjectmatterId,subjectMatterCd,subjectMatterCodeValue,subjectMatterDescr
SUB,LOBBYACT,LOBBYACTANNUAL,211165,2002,00010017,LOBB,"Kleinworth, Thomas W. (Mr.)","KLEINWORTH, THOMAS W. (MR.)",20030110,20021219,20020101,20021231,LA-A4,100000679,74,State Finances,
SUB,LOBBYACT,LOBBYACTANNUAL,211165,2002,00010017,LOBB,"Kleinworth, Thomas W. (Mr.)","KLEINWORTH, THOMAS W. (MR.)",20030110,20021219,20020101,20021231,LA-A4,100000697,29,Education,
SUB,LOBBYACT,LOBBYACTANNUAL,211165,2002,00010017,LOBB,"Kleinworth, Thomas W. (Mr.)","KLEINWORTH, THOMAS W. (MR.)",20030110,20021219,20020101,20021231,LA-A4,100000807,59,Open Records And Open Meetings,
SUB,LOBBYACT,LOBBYACTANNUAL,211165,2002,00010017,LOBB,"Kleinworth, Thomas W. (Mr.)","KLEINWORTH, THOMAS W. (MR.)",20030110,20021219,20020101,20021231,LA-A4,100000835,40,Health And Health Care,
SUB,LOBBYACT,LOBBYACTANNUAL,638262,2014,00010017,LOBB,"Kleinworth, Thomas (Mr.)","KLEINWORTH, THOMAS (MR.)",20150112,20150105,20140101,20141231,LA-A4,100000678,43,Hospitals,
SUB,LOBBYACT,LOBBYACTANNUAL,638262,2014,00010017,LOBB,"Kleinworth, Thomas (Mr.)","KLEINWORTH, THOMAS (MR.)",20150112,20150105,20140101,20141231,LA-A4,100000685,59,Open Records And Open Meetings,
SUB,LOBBYACT,LOBBYACTANNUAL,638262,2014,00010017,LOBB,"Kleinworth, Thomas (Mr.)","KLEINWORTH, THOMAS (MR.)",20150112,20150105,20140101,20141231,LA-A4,100000695,57,Occupational Regulation,
SUB,LOBBYACT,LOBBYACTANNUAL,638262,2014,00010017,LOBB,"Kleinworth, Thomas (Mr.)","KLEINWORTH, THOMAS (MR.)",20150112,20150105,20140101,20141231,LA-A4,100000715,74,State Finances,
SUB,LOBBYACT,LOBBYACTANNUAL,638262,2014,00010017,LOBB,"Kleinworth, Thomas (Mr.)","KLEINWORTH, THOMAS (MR.)",20150112,20150105,20140101,20141231,LA-A4,100000722,40,Health And Health Care,
SUB,LOBBYACT,LOBBYACTANNUAL,638262,2014,00010017,LOBB,"Kleinworth, Thomas (Mr.)","KLEINWORTH, THOMAS (MR.)",20150112,20150105,20140101,20141231,LA-A4,100000759,29,Education,
SUB,LOBBYACT,LOBBYACTANNUAL,638262,2014,00010017,LOBB,"Kleinworth, Thomas (Mr.)","KLEINWORTH, THOMAS (MR.)",20150112,20150105,20140101,20141231,LA-A4,100000820,75,Taxation,
SUB,LOBBYACT,LOBBYACTANNUAL,638262,2014,00010017,LOBB,"Kleinworth, Thomas (Mr.)","KLEINWORTH, THOMAS (MR.)",20150112,20150105,20140101,20141231,LA-A4,100000822,13,Charitable And Nonprofit Organizations,
